"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
"PLCG2",0,-4.6014707791929,0.014,0.213,0,"PLCG2","Downregulated"
"FTH1",0,0.823072957551896,0.949,0.95,0,"FTH1","Upregulated"
"RGS1",2.55650519567971e-303,0.744916971414867,0.774,0.467,4.65871941808714e-299,"RGS1","Upregulated"
"H3F3B",9.94600982135593e-294,0.669775826475203,0.956,0.903,1.81246136974569e-289,"H3F3B","Upregulated"
"ANXA1",1.01611255784747e-292,1.35727695914505,0.72,0.49,1.85166191416545e-288,"ANXA1","Upregulated"
"SRGN",1.43638536891046e-259,0.667791846186728,0.887,0.814,2.61752505776553e-255,"SRGN","Upregulated"
"MTRNR2L12",3.13316130963628e-256,-1.78700364483503,0.204,0.453,5.70955985455019e-252,"MTRNR2L12","Downregulated"
"GNLY",1.25862425401888e-229,-1.33731563688477,0.239,0.474,2.29359097809861e-225,"GNLY","Downregulated"
"MT-CO1",6.25786870300569e-213,0.500919115154304,0.95,0.884,1.14037141374873e-208,"MT-CO1","Upregulated"
"KLRC2",9.73137875807445e-204,-2.16168241255533,0.043,0.194,1.77334915108391e-199,"KLRC2","Downregulated"
"RPL37",2.53275540893352e-202,-0.570016337503778,0.739,0.941,4.61544018169955e-198,"RPL37","Downregulated"
"RPL17",5.24128041763469e-198,-1.11663179848256,0.283,0.499,9.55118530505569e-194,"RPL17","Downregulated"
"MT-CO2",3.45947513463513e-194,0.530246015963311,0.929,0.867,6.30420153784561e-190,"MT-CO2","Upregulated"
"KLF6",8.05905404937365e-191,1.1380514438887,0.702,0.534,1.46860141941736e-186,"KLF6","Upregulated"
"RPS29",1.85596487700395e-183,-0.399690744346919,0.8,0.976,3.38212479536429e-179,"RPS29","Downregulated"
"RPS28",2.3178808792862e-181,-0.393511397257861,0.876,0.983,4.22387432632324e-177,"RPS28","Downregulated"
"RMRP",3.9704713949359e-180,-6.37186314074656,0.001,0.085,7.2353900229917e-176,"RMRP","Downregulated"
"EIF1",9.94664560389859e-180,0.42526215045963,0.951,0.961,1.81257722839844e-175,"EIF1","Upregulated"
"RPL37A",1.72369147416077e-178,-0.511634270462304,0.748,0.945,3.14108297336317e-174,"RPL37A","Downregulated"
"TSC22D3",7.87716058222991e-177,0.527174977603677,0.848,0.638,1.43545497289976e-172,"TSC22D3","Upregulated"
"MT-CO3",3.54057716640312e-176,0.503447275285683,0.893,0.843,6.45199377033641e-172,"MT-CO3","Upregulated"
"SAT1",2.29153582593208e-174,1.17518004357322,0.787,0.641,4.17586573559603e-170,"SAT1","Upregulated"
"MTRNR2L8",6.37329009015975e-174,-1.3310109705738,0.23,0.438,1.16140465312981e-169,"MTRNR2L8","Downregulated"
"CD160",2.58558629563675e-170,-2.4111932071105,0.038,0.167,4.71171390653885e-166,"CD160","Downregulated"
"TXNIP",6.83579476109033e-166,-0.675741305355106,0.418,0.654,1.24568687931349e-161,"TXNIP","Downregulated"
"CREM",9.87932208291492e-163,0.992883662961358,0.601,0.42,1.80030886316959e-158,"CREM","Upregulated"
"CTSW",1.3279371009575e-155,-0.969879437512238,0.314,0.51,2.41989977907486e-151,"CTSW","Downregulated"
"MTRNR2L1",1.06948641888986e-154,-1.77508460326669,0.177,0.343,1.948925101143e-150,"MTRNR2L1","Downregulated"
"RPS17",5.58036758477821e-152,-0.665767673375888,0.502,0.713,1.01691038497413e-147,"RPS17","Downregulated"
"RPS21",1.47749224419543e-150,-0.563319724098369,0.669,0.866,2.69243411659734e-146,"RPS21","Downregulated"
"HSPA1B",1.11105926920625e-145,-1.52089897084915,0.293,0.478,2.02468330627456e-141,"HSPA1B","Downregulated"
"MT2A",1.23549024065793e-140,0.996660773906783,0.572,0.398,2.25143386555094e-136,"MT2A","Upregulated"
"RPL36",2.86787601108953e-134,-0.37182898673621,0.798,0.956,5.22613045500845e-130,"RPL36","Downregulated"
"KIR2DL3",7.17655041207417e-133,-3.48035419816238,0.008,0.084,1.30778278159228e-128,"KIR2DL3","Downregulated"
"RPL38",1.88803010512541e-130,-0.457426600246105,0.686,0.896,3.44055726057004e-126,"RPL38","Downregulated"
"RPLP2",1.54511408732901e-129,-0.344838691655514,0.893,0.99,2.81566140133966e-125,"RPLP2","Downregulated"
"CXCL8",2.70193550593075e-127,1.52124892295453,0.259,0.1,4.92373707245761e-123,"CXCL8","Upregulated"
"HOPX",3.2121631693656e-121,-1.01172790565107,0.217,0.382,5.85352494353493e-117,"HOPX","Downregulated"
"GPR183",6.03053246914909e-119,1.24046457304823,0.477,0.314,1.09894393185304e-114,"GPR183","Upregulated"
"CXCR4",8.63870446419861e-116,0.305760375371687,0.819,0.652,1.57423111451091e-111,"CXCR4","Upregulated"
"TRG-AS1",2.72043908897684e-114,-1.88695095095497,0.058,0.169,4.9574561518425e-110,"TRG-AS1","Downregulated"
"EEF1A1",2.82711789779411e-114,-0.285863327447238,0.894,0.994,5.1518569451502e-110,"EEF1A1","Downregulated"
"TNFAIP3",5.19942198766375e-114,0.879558943555959,0.534,0.366,9.47490668811966e-110,"TNFAIP3","Upregulated"
"RPS27",1.23825137946665e-113,-0.249030979089857,0.977,0.995,2.25646548880208e-109,"RPS27","Not Significant"
"ZFP36",1.37986504754066e-111,0.577762474126808,0.714,0.609,2.51452807613334e-107,"ZFP36","Upregulated"
"MTRNR2L10",6.24500496275899e-105,-1.17766595328791,0.127,0.263,1.13802725436357e-100,"MTRNR2L10","Downregulated"
"KLRD1",8.17514753666381e-95,-0.63139676052376,0.219,0.38,1.48975713560625e-90,"KLRD1","Downregulated"
"RPS26",1.94070216885913e-93,-0.479631202227827,0.697,0.879,3.536541562312e-89,"RPS26","Downregulated"
"TOMM7",2.20596895236033e-92,-0.421792756379327,0.543,0.718,4.01993722188623e-88,"TOMM7","Downregulated"
"AC067930.1",2.25875716352841e-92,-4.0376562456942,0.002,0.048,4.11613317909782e-88,"AC067930.1","Downregulated"
"RPL39",3.14936807832051e-92,-0.334624207171006,0.89,0.977,5.73909344912347e-88,"RPL39","Downregulated"
"CCL5",1.4581379485082e-91,-0.88433387615923,0.635,0.677,2.65716478356649e-87,"CCL5","Downregulated"
"HNRNPH1",1.26547345055598e-90,2.0658857936082,0.421,0.307,2.30607226894816e-86,"HNRNPH1","Upregulated"
"RPL21",5.66574073006077e-89,-0.233888336021248,0.966,0.995,1.03246793323897e-84,"RPL21","Not Significant"
"YPEL5",2.74948264200445e-88,0.715239788932528,0.614,0.502,5.0103822185247e-84,"YPEL5","Upregulated"
"PIK3R3",5.00785568319823e-87,-2.10617657001645,0.025,0.097,9.12581541149214e-83,"PIK3R3","Downregulated"
"RPL41",7.317164271962e-87,-0.186468230460061,0.988,0.997,1.33340684527963e-82,"RPL41","Not Significant"
"RPS10",3.40739191232269e-86,-0.4308057960126,0.591,0.779,6.20929028182563e-82,"RPS10","Downregulated"
"TRBV6-2",3.79266690268574e-84,-5.18965990588187,0.002,0.045,6.91137689676422e-80,"TRBV6-2","Downregulated"
"HCST",3.79594457448992e-84,-0.530593593372189,0.494,0.65,6.91734979809298e-80,"HCST","Downregulated"
"B4GALT1",6.06128809417442e-83,2.76843117271768,0.202,0.092,1.10454852940141e-78,"B4GALT1","Upregulated"
"CYBA",2.00426953166178e-81,-0.387983412106504,0.617,0.79,3.65238036754727e-77,"CYBA","Downregulated"
"MT-CYB",1.26215005483651e-80,0.356503470474493,0.849,0.848,2.30001604492856e-76,"MT-CYB","Upregulated"
"CD69",2.53164720432288e-78,0.599473048305383,0.665,0.534,4.61342070043759e-74,"CD69","Upregulated"
"NOP53",7.12671031637798e-77,-1.18312252603518,0.152,0.264,1.29870042095356e-72,"NOP53","Downregulated"
"SBF2",2.00351901407575e-76,-1.81947683720153,0.049,0.131,3.65101269935023e-72,"SBF2","Downregulated"
"RPL22",3.22057829124213e-76,-0.327626277092614,0.668,0.856,5.86885982013054e-72,"RPL22","Downregulated"
"NKG7",1.95709673236139e-75,-0.887862140575166,0.335,0.479,3.56641737538216e-71,"NKG7","Downregulated"
"CD7",1.24546638299279e-73,-0.569343265704672,0.433,0.574,2.26961338972776e-69,"CD7","Downregulated"
"RPL32",3.96321141449551e-73,-0.248052028865326,0.926,0.988,7.22216016063518e-69,"RPL32","Not Significant"
"N4BP2L2",1.27725453782624e-71,-0.495800562928586,0.302,0.441,2.32754094428075e-67,"N4BP2L2","Downregulated"
"ZNF683",5.40496841105481e-71,-1.12049036422523,0.121,0.225,9.84947393546519e-67,"ZNF683","Downregulated"
"RPS15A",1.43529432932727e-70,-0.246229620338378,0.883,0.985,2.61553685633309e-66,"RPS15A","Not Significant"
"MYL12A",2.00243634267787e-70,-0.347393842198514,0.631,0.792,3.64903974726188e-66,"MYL12A","Downregulated"
"G0S2",2.81848003094227e-70,2.05573058864702,0.143,0.052,5.1361161603861e-66,"G0S2","Upregulated"
"SAMSN1",3.28958912831881e-70,0.813962757634703,0.518,0.406,5.99461826853537e-66,"SAMSN1","Upregulated"
"LMNA",9.11123098772398e-70,1.09193814878022,0.341,0.219,1.66033962289294e-65,"LMNA","Upregulated"
"RPL30",2.48597488337954e-69,-0.279409075161152,0.829,0.97,4.53019202998254e-65,"RPL30","Downregulated"
"CD63",6.53113610611885e-69,-0.199347313349914,0.4,0.564,1.19016893261804e-64,"CD63","Not Significant"
"RPL36A",1.43262650342238e-68,-0.3166054877451,0.493,0.67,2.61067527718659e-64,"RPL36A","Downregulated"
"ITM2B",5.32516773811905e-68,-0.798269420214606,0.443,0.585,9.70405316917434e-64,"ITM2B","Downregulated"
"SERPINB9",1.41595051020281e-67,1.91219742282595,0.281,0.172,2.58028661474258e-63,"SERPINB9","Upregulated"
"ACTG1",2.34187506376686e-67,-0.319662273311061,0.643,0.82,4.26759892870235e-63,"ACTG1","Downregulated"
"POLR2J3.1",3.76099214807505e-66,-0.833315093264097,0.136,0.241,6.85365599143717e-62,"POLR2J3.1","Downregulated"
"SEMG1",4.66722733110448e-66,-14.7323357984474,0,0.03,8.5050883654717e-62,"SEMG1","Downregulated"
"TRDC",1.33468380016318e-65,-1.56890402063476,0.048,0.123,2.43219428903736e-61,"TRDC","Downregulated"
"ACTB",6.91329841182299e-65,-0.354560286358864,0.944,0.984,1.2598103695865e-60,"ACTB","Downregulated"
"TRAF3IP3",7.76920909358162e-65,-0.707603343097002,0.173,0.285,1.41578297312338e-60,"TRAF3IP3","Downregulated"
"TMA7",1.45709018757881e-64,-0.282310827752276,0.604,0.773,2.65525544882487e-60,"TMA7","Downregulated"
"CD3E",6.21904481848313e-64,-0.536509023100025,0.424,0.541,1.13329653727218e-59,"CD3E","Downregulated"
"SELENOK",6.27832576046046e-64,0.821989675619005,0.567,0.484,1.14409930332871e-59,"SELENOK","Upregulated"
"RAC2",1.49329841067613e-63,-0.515380043295829,0.375,0.506,2.72123769377512e-59,"RAC2","Downregulated"
"MIF",1.66887642417172e-63,-0.55877899305697,0.184,0.3,3.04119350776812e-59,"MIF","Downregulated"
"ATM",3.79817591474932e-63,-1.02490911884877,0.075,0.16,6.92141596944768e-59,"ATM","Downregulated"
"BAG3",1.71895704913771e-62,-0.597372325752306,0.055,0.135,3.13245543064365e-58,"BAG3","Downregulated"
"CD8B",2.87508193478501e-62,-0.788701127478464,0.17,0.279,5.23926180975873e-58,"CD8B","Downregulated"
"KIR2DL1",3.81322126276756e-61,-3.47819465913118,0.002,0.035,6.94883310714133e-57,"KIR2DL1","Downregulated"
"GSTP1",1.98778279221988e-60,-0.38473462645002,0.272,0.4,3.62233658226228e-56,"GSTP1","Downregulated"
"CD37",3.3959040120237e-60,-0.373121046784459,0.399,0.539,6.18835588111079e-56,"CD37","Downregulated"
"DNAJA4",1.43434174414617e-59,-1.00866140498369,0.025,0.082,2.61380096035757e-55,"DNAJA4","Downregulated"
"IL1B",2.29320171508971e-59,1.19304169527552,0.162,0.072,4.17890148540797e-55,"IL1B","Upregulated"
"MT-ATP6",6.78017244751195e-59,0.392707537711076,0.794,0.794,1.2355508251101e-54,"MT-ATP6","Upregulated"
"CTNNB1",9.75733009636648e-59,2.30161793725505,0.216,0.123,1.77807826346086e-54,"CTNNB1","Upregulated"
"TOB1",2.07839105746715e-58,1.38278492619252,0.332,0.232,3.78745202402239e-54,"TOB1","Upregulated"
"FCRL6",4.97984213954866e-58,-1.31119760072507,0.041,0.107,9.07476633089952e-54,"FCRL6","Downregulated"
"HLA-C",3.31033951804481e-57,-0.26239159621816,0.811,0.953,6.03243170373306e-53,"HLA-C","Downregulated"
"RASGEF1B",5.34527295132522e-57,2.500658507051,0.167,0.082,9.74069089919994e-53,"RASGEF1B","Upregulated"
"CYTH4",2.08678412066987e-56,-1.08787559959686,0.055,0.127,3.80274670309671e-52,"CYTH4","Downregulated"
"CDC42SE1",2.24783461406409e-56,1.90224741113736,0.305,0.213,4.09622901720899e-52,"CDC42SE1","Upregulated"
"ITGA1",3.24906162689744e-56,-1.59253614402173,0.058,0.128,5.92076500269521e-52,"ITGA1","Downregulated"
"PLAUR",4.7558921430555e-56,1.81373308732014,0.188,0.099,8.66666225229004e-52,"PLAUR","Upregulated"
"ZNF277",5.3435153085655e-56,-1.48428439603558,0.041,0.105,9.73748794679891e-52,"ZNF277","Downregulated"
"RPS3",3.49658791503096e-55,-0.204266242519905,0.908,0.983,6.37183215756092e-51,"RPS3","Not Significant"
"PTPN6",4.42707444231183e-55,-0.91558076251429,0.081,0.162,8.06745775622484e-51,"PTPN6","Downregulated"
"DUSP4",5.72681360369874e-54,1.00298545652849,0.278,0.174,1.04359724300202e-49,"DUSP4","Upregulated"
"SELENOH",1.87919536145615e-53,-0.528971515036046,0.186,0.289,3.42445770718153e-49,"SELENOH","Downregulated"
"LCP1",2.31482013751528e-53,-0.327525097042952,0.305,0.428,4.2182967365941e-49,"LCP1","Downregulated"
"EIF4A2",1.20122951135923e-52,-0.185687529038468,0.524,0.675,2.18900053854993e-48,"EIF4A2","Not Significant"
"PRELID1",2.36386261524533e-52,-1.11243133868828,0.073,0.147,4.30766684376156e-48,"PRELID1","Downregulated"
"SEPT7",1.31223013860333e-51,-0.273027723339913,0.436,0.574,2.39127698157685e-47,"SEPT7","Downregulated"
"PPP1R18",1.31278345753669e-51,-0.621716979333564,0.181,0.281,2.39228529466912e-47,"PPP1R18","Downregulated"
"MYO1F",1.43013428851751e-51,-0.925875856046335,0.1,0.182,2.60613371396547e-47,"MYO1F","Downregulated"
"MATK",2.18928751984299e-51,-1.06505773821279,0.079,0.155,3.98953864740987e-47,"MATK","Downregulated"
"KIR2DL4",3.00599050961356e-51,-2.51049346209448,0.006,0.041,5.47781650566879e-47,"KIR2DL4","Downregulated"
"EVL",6.44478141163081e-51,-0.357329991229528,0.454,0.584,1.17443251664148e-46,"EVL","Downregulated"
"ADGRG1",1.8441073006774e-50,-1.12759969929677,0.026,0.078,3.36051673402443e-46,"ADGRG1","Downregulated"
"TCP1",3.80318138217858e-50,-0.190216400181258,0.193,0.304,6.93053743274402e-46,"TCP1","Not Significant"
"AC058791.1",9.4299580153099e-50,1.42331317342176,0.305,0.214,1.71842124912992e-45,"AC058791.1","Upregulated"
"KLRC4",1.20679491394889e-49,-1.87282497731992,0.012,0.053,2.19914237168907e-45,"KLRC4","Downregulated"
"RPL35A",3.90881034726e-48,-0.207559752342049,0.881,0.977,7.1230250958119e-44,"RPL35A","Not Significant"
"LEPROTL1",4.11657495771477e-48,0.771616446515168,0.473,0.388,7.50163454544362e-44,"LEPROTL1","Upregulated"
"CD99",9.78634100588334e-48,-0.281048170115723,0.43,0.561,1.78336492150212e-43,"CD99","Downregulated"
"KRTCAP2",1.049223050559e-47,-0.666845854339827,0.093,0.171,1.91199916503367e-43,"KRTCAP2","Downregulated"
"ADAM28",1.13628309451413e-47,-1.09019643208839,0.033,0.087,2.07064868313311e-43,"ADAM28","Downregulated"
"RPS27A",1.32912397083932e-47,-0.180815217659433,0.935,0.99,2.4220626120605e-43,"RPS27A","Not Significant"
"GIMAP1",1.36219218988314e-47,-0.825568724678307,0.082,0.156,2.48232282762405e-43,"GIMAP1","Downregulated"
"PPDPF",3.07455196858236e-47,-0.342450637596476,0.47,0.592,5.60275605234763e-43,"PPDPF","Downregulated"
"ATP5MC2",3.54819181847794e-47,-0.213764679560798,0.483,0.622,6.46586995081235e-43,"ATP5MC2","Not Significant"
"PPP1CB",4.37567387978814e-47,1.33346592011231,0.384,0.298,7.97379051113792e-43,"PPP1CB","Upregulated"
"RPL27A",1.90522469592389e-46,-0.197037942126004,0.893,0.983,3.4718909633821e-42,"RPL27A","Not Significant"
"ANKRD28",2.63310048994427e-46,1.85351079467744,0.182,0.102,4.79829902282545e-42,"ANKRD28","Upregulated"
"UQCR11",8.38831391853234e-46,-0.293173248926875,0.426,0.55,1.52860244537415e-41,"UQCR11","Downregulated"
"ARF5",1.08287443576963e-45,-0.811692855997491,0.035,0.089,1.973322084303e-41,"ARF5","Downregulated"
"CCL3",1.1417474540979e-45,0.977680757277074,0.244,0.156,2.08060638560261e-41,"CCL3","Upregulated"
"TXK",1.25873058239001e-45,-1.40960734703884,0.025,0.073,2.29378474028932e-41,"TXK","Downregulated"
"HLA-DRA",7.26940313477275e-45,0.366325553912395,0.426,0.31,1.32470333324964e-40,"HLA-DRA","Upregulated"
"RPS12",1.39370410651037e-44,-0.202104999732765,0.881,0.98,2.53974699329384e-40,"RPS12","Not Significant"
"LSP1",2.01565705461145e-44,-0.312789082648835,0.42,0.537,3.67313185061845e-40,"LSP1","Downregulated"
"MT-ND4",2.88475304017714e-44,0.231450174099167,0.864,0.891,5.2568854651148e-40,"MT-ND4","Not Significant"
"IFITM1",3.35377744930477e-44,-0.891605995718991,0.015,0.055,6.11158864586808e-40,"IFITM1","Downregulated"
"ST13",5.77714589498892e-44,-0.206391203741051,0.242,0.35,1.05276929644383e-39,"ST13","Not Significant"
"RPL35",1.5353752090545e-43,-0.206444770503836,0.845,0.963,2.79791424346002e-39,"RPL35","Not Significant"
"SARAF",2.42970732711315e-43,0.434988781998422,0.703,0.727,4.4276556621983e-39,"SARAF","Upregulated"
"AC007952.4",2.74261314288587e-43,-1.28060027560738,0.032,0.082,4.99786393028092e-39,"AC007952.4","Downregulated"
"ACTR3",4.12954832097734e-43,-0.321517547523746,0.308,0.418,7.52527590531701e-39,"ACTR3","Downregulated"
"RHOA",1.12423519327423e-42,-0.273859451612658,0.351,0.464,2.04869379270362e-38,"RHOA","Downregulated"
"CCDC85B",1.38282225354246e-42,-1.03393795125994,0.102,0.174,2.51991699263043e-38,"CCDC85B","Downregulated"
"UBL5",1.62330971363458e-42,-0.227879260959576,0.414,0.535,2.95815729115629e-38,"UBL5","Not Significant"
"RPSA",1.68471975375789e-42,-0.228750179847486,0.684,0.87,3.070064807273e-38,"RPSA","Not Significant"
"RPL26",2.26848104349398e-42,-0.208455323121854,0.863,0.975,4.13385300555908e-38,"RPL26","Not Significant"
"C15orf48",2.87340646142122e-42,2.62791696718704,0.088,0.032,5.23620859464789e-38,"C15orf48","Upregulated"
"HMGCL",4.08114295224305e-42,-1.12727627044225,0.07,0.134,7.43706680187251e-38,"HMGCL","Downregulated"
"CCDC66",5.83929780501331e-42,-0.930067553412887,0.069,0.134,1.06409523900757e-37,"CCDC66","Downregulated"
"GIMAP7",1.08134891116094e-41,-0.547558716194228,0.191,0.282,1.97054212080857e-37,"GIMAP7","Downregulated"
"CX3CR1",1.13240056968721e-41,-2.4206004225359,0.01,0.043,2.06357355814101e-37,"CX3CR1","Downregulated"
"UBA52",1.29307292131331e-41,-0.230758954666003,0.744,0.913,2.35636678450924e-37,"UBA52","Not Significant"
"PTPRC",1.61105494973164e-41,-0.24019852616605,0.536,0.679,2.93582543489597e-37,"PTPRC","Not Significant"
"DNAJA1",1.76308395412074e-41,0.701789612772103,0.655,0.58,3.21286788959422e-37,"DNAJA1","Upregulated"
"RPL9",2.07723547251877e-41,-0.213014848477191,0.823,0.962,3.78534620157096e-37,"RPL9","Not Significant"
"LAT2",3.01415295905166e-41,-0.664942311141479,0.056,0.116,5.49269093727984e-37,"LAT2","Downregulated"
"RPS11",6.19424614019129e-41,-0.22017991558337,0.705,0.867,1.12877747412706e-36,"RPS11","Not Significant"
"MPHOSPH8",1.21247841134677e-40,-0.38692425067236,0.188,0.28,2.20949940899722e-36,"MPHOSPH8","Downregulated"
"MSMB",1.26791976535695e-40,7.5389987875475,0.033,0.001,2.31053018840998e-36,"MSMB","Upregulated"
"OST4",1.35764102251897e-40,-0.156763599407487,0.526,0.669,2.47402923533631e-36,"OST4","Not Significant"
"PAXX",2.05060124731016e-40,-0.508153178198318,0.222,0.314,3.7368106529733e-36,"PAXX","Downregulated"
"EEF1B2",2.17022576182944e-40,-0.204155719255439,0.575,0.718,3.95480240578178e-36,"EEF1B2","Not Significant"
"CNBP",2.53290659767835e-40,-0.163872898637331,0.411,0.538,4.61571569294926e-36,"CNBP","Not Significant"
"CLEC2B",2.80327966295967e-40,1.06586398764157,0.425,0.348,5.10841652981141e-36,"CLEC2B","Upregulated"
"HNRNPA2B1",3.35654886495221e-40,-0.12492959587139,0.569,0.709,6.11663899660242e-36,"HNRNPA2B1","Not Significant"
"CALM2",4.26256182151421e-40,0.482744949606967,0.712,0.689,7.76766640734534e-36,"CALM2","Upregulated"
"PTMA",4.56266812069174e-40,0.205773005813453,0.968,0.987,8.31455011633657e-36,"PTMA","Not Significant"
"MT1X",7.22937715727021e-40,0.862063100593756,0.355,0.271,1.31740939936935e-35,"MT1X","Upregulated"
"ABI3",9.44136969263729e-40,-0.543933412327066,0.132,0.212,1.72050079908929e-35,"ABI3","Downregulated"
"GZMM",9.88107995225395e-40,-0.489833307736414,0.17,0.256,1.80062919969924e-35,"GZMM","Downregulated"
"RCSD1",1.03203792250598e-39,-0.847908662841848,0.082,0.149,1.88068270618265e-35,"RCSD1","Downregulated"
"RPL7A",1.1259755824777e-39,-0.215180993176429,0.695,0.88,2.05186530394912e-35,"RPL7A","Not Significant"
"PA2G4",1.49102878184648e-39,-0.38278587368712,0.198,0.289,2.71710174915884e-35,"PA2G4","Downregulated"
"LDLRAD4",1.51568508092953e-39,1.04016411953622,0.244,0.159,2.76203292297789e-35,"LDLRAD4","Upregulated"
"WTAP",3.15750998477448e-39,2.05329520421918,0.196,0.124,5.75393044525454e-35,"WTAP","Upregulated"
"ATRX",5.03671930451131e-39,-0.494076917066163,0.144,0.226,9.17841358861096e-35,"ATRX","Downregulated"
"IL32",5.35336107739531e-39,-0.345160869420578,0.623,0.709,9.75542989133748e-35,"IL32","Downregulated"
"LAMTOR4",9.46344403896313e-39,-0.27918140235821,0.283,0.384,1.72452340722025e-34,"LAMTOR4","Downregulated"
"CD8A",1.04795605999955e-38,-0.54687354504335,0.227,0.321,1.90969032813719e-34,"CD8A","Downregulated"
"PMAIP1",1.05144499530317e-38,1.16120655133127,0.278,0.197,1.91604821494097e-34,"PMAIP1","Upregulated"
"PPP1CA",1.24408406907193e-38,-0.371019547546504,0.284,0.379,2.26709439906978e-34,"PPP1CA","Downregulated"
"TBC1D10C",1.29025785369111e-38,-0.532975863030921,0.201,0.287,2.35123688678131e-34,"TBC1D10C","Downregulated"
"EIF3L",1.40204925717965e-38,-0.241576151493146,0.304,0.409,2.55495436135848e-34,"EIF3L","Not Significant"
"NHLRC3",1.49311679761387e-38,-1.02032389768314,0.042,0.093,2.72090674029175e-34,"NHLRC3","Downregulated"
"HSPA1A",2.18627168252195e-38,-0.93018028511066,0.431,0.513,3.98404288705975e-34,"HSPA1A","Downregulated"
"CORO1A",2.87966985749144e-38,-0.229627643106079,0.554,0.692,5.24762238130665e-34,"CORO1A","Not Significant"
"PFN1",3.38103819368432e-38,-0.281011120717568,0.748,0.891,6.16126590035093e-34,"PFN1","Downregulated"
"ZFP36L2",4.4254313899432e-38,0.648202935742236,0.414,0.329,8.0644636218935e-34,"ZFP36L2","Upregulated"
"GDI2",5.97589097887195e-38,-0.421363769259696,0.201,0.289,1.08898661307984e-33,"GDI2","Downregulated"
"SLC9A3R1",1.27402245483506e-37,-0.67093894893935,0.133,0.208,2.32165111944593e-33,"SLC9A3R1","Downregulated"
"RPS3A",1.89162625720248e-37,-0.164355975352503,0.903,0.977,3.44711052850008e-33,"RPS3A","Not Significant"
"POLR2L",2.93462544891316e-37,-0.189443755861541,0.362,0.473,5.34776795555446e-33,"POLR2L","Not Significant"
"CNOT6L",3.00215808089166e-37,1.49843149514264,0.21,0.135,5.47083267080888e-33,"CNOT6L","Upregulated"
"STOM",3.58024235652859e-37,-0.519938456921073,0.144,0.221,6.52427564630205e-33,"STOM","Downregulated"
"TUBB",6.43556434144486e-37,-0.197533368998364,0.203,0.296,1.1727528899415e-32,"TUBB","Not Significant"
"PRDX5",6.74032303729724e-37,-0.314654246361542,0.21,0.3,1.22828906708668e-32,"PRDX5","Downregulated"
"ELOB",8.83883792308835e-37,-0.20227056470711,0.367,0.475,1.61070143472439e-32,"ELOB","Not Significant"
"PSMB10",9.07857043782203e-37,-0.778115713699617,0.056,0.112,1.65438789088431e-32,"PSMB10","Downregulated"
"ATP5MPL",2.81075898507818e-36,-0.205363299856538,0.35,0.455,5.12204609850797e-32,"ATP5MPL","Not Significant"
"CST7",2.92537213075299e-36,-0.369162228097025,0.314,0.412,5.33090563387117e-32,"CST7","Downregulated"
"UBB",3.6587689866295e-36,0.566999561650178,0.876,0.87,6.66737472433495e-32,"UBB","Upregulated"
"ASH1L",4.33718521868867e-36,-0.771429848812663,0.084,0.148,7.90365262401637e-32,"ASH1L","Downregulated"
"PNISR",7.8747002591686e-36,-0.26873054249846,0.278,0.375,1.43500662822829e-31,"PNISR","Downregulated"
"LUC7L3",1.02037896541478e-35,-0.406756627850363,0.15,0.229,1.85943658867535e-31,"LUC7L3","Downregulated"
"TRGC2",1.30916642654495e-35,-0.757970838913823,0.142,0.219,2.38569397909285e-31,"TRGC2","Downregulated"
"CCR9",1.80730795247176e-35,-3.69116081692985,0.002,0.022,3.29345728178928e-31,"CCR9","Downregulated"
"GIMAP6",1.9198917136222e-35,-1.04942067928822,0.038,0.085,3.49861866973373e-31,"GIMAP6","Downregulated"
"CD164",2.22776057952888e-35,-0.254755127641492,0.249,0.342,4.05964810407548e-31,"CD164","Downregulated"
"ATP5F1E",2.50783559599865e-35,-0.180467456012549,0.701,0.847,4.57002880658834e-31,"ATP5F1E","Not Significant"
"YIPF4",3.88021027993821e-35,-0.706041212815347,0.071,0.13,7.0709071931314e-31,"YIPF4","Downregulated"
"BIN2",3.95096725049312e-35,-0.363919614652419,0.211,0.3,7.1998476205736e-31,"BIN2","Downregulated"
"H2AFZ",5.43695598335734e-35,0.720080985839181,0.609,0.568,9.90776488847208e-31,"H2AFZ","Upregulated"
"FGFBP2",1.45638461481549e-34,-0.845807208453801,0.04,0.089,2.65396968357827e-30,"FGFBP2","Downregulated"
"GZMH",1.89464220911679e-34,-0.387471078349693,0.258,0.356,3.45260649767352e-30,"GZMH","Downregulated"
"DHRS7",2.13066789351711e-34,-0.209800312377324,0.238,0.33,3.88271610235623e-30,"DHRS7","Not Significant"
"CAP1",2.50326141986827e-34,-0.159456805746088,0.355,0.458,4.56169328542596e-30,"CAP1","Not Significant"
"HLA-E",2.59402788918299e-34,-0.176601623459775,0.698,0.863,4.72709702245816e-30,"HLA-E","Not Significant"
"FOSL2",2.72647809567746e-34,1.36136499400242,0.155,0.089,4.96846103375304e-30,"FOSL2","Upregulated"
"CHMP4A",6.09071459068992e-34,-0.339249258361559,0.184,0.266,1.10991091986142e-29,"CHMP4A","Downregulated"
"XCL2",9.08446895822093e-34,-0.449797170954526,0.102,0.171,1.6554627782566e-29,"XCL2","Downregulated"
